",client_id,age,job,marital,education,credit_default,mortgage,month,day,contact_duration,number_contacts,previous_campaign_contacts,previous_outcome,cons_price_idx,euribor_three_months,campaign_outcome"
"25,25,35,technician,married,university.degree,no,no,may,28,99,1,0,nonexistent,93.994,4.857,no"
"26,26,59,technician,married,unknown,no,yes,may,30,93,1,0,nonexistent,93.994,4.857,no"
"27,27,39,self-employed,married,basic.9y,unknown,no,may,16,233,1,0,nonexistent,93.994,4.857,no"
"28,28,54,technician,single,university.degree,unknown,no,may,1,255,2,0,nonexistent,93.994,4.857,no"
"29,29,55,unknown,married,university.degree,unknown,unknown,may,22,362,1,0,nonexistent,93.994,4.857,no"
"30,30,46,admin.,married,unknown,no,no,may,22,348,1,0,nonexistent,93.994,4.857,no"
"31,31,59,technician,married,unknown,no,yes,may,27,386,1,0,nonexistent,93.994,4.857,no"
"32,32,49,blue-collar,married,unknown,no,no,may,25,73,1,0,nonexistent,93.994,4.857,no"
"33,33,54,management,married,basic.4y,unknown,yes,may,14,230,1,0,nonexistent,93.994,4.857,no"
"34,34,54,blue-collar,divorced,basic.4y,no,no,may,25,208,1,0,nonexistent,93.994,4.857,no"
"35,35,55,unknown,married,basic.4y,unknown,yes,may,22,336,1,0,nonexistent,93.994,4.857,no"
"36,36,34,services,married,high.school,no,no,may,11,365,1,0,nonexistent,93.994,4.857,no"
"37,37,52,technician,married,basic.9y,no,yes,may,3,1666,1,0,nonexistent,93.994,4.857,no"
"38,38,41,admin.,married,university.degree,no,yes,may,2,577,1,0,nonexistent,93.994,4.857,no"
"39,39,56,technician,married,basic.4y,no,yes,may,20,137,1,0,nonexistent,93.994,4.857,no"
"40,40,58,management,unknown,university.degree,no,yes,may,5,366,1,0,nonexistent,93.994,4.857,no"
"41,41,32,entrepreneur,married,high.school,no,yes,may,25,314,1,0,nonexistent,93.994,4.857,no"
"42,42,38,admin.,single,professional.course,no,no,may,22,160,1,0,nonexistent,93.994,4.857,no"
"43,43,57,admin.,married,university.degree,no,no,may,1,212,1,0,nonexistent,93.994,4.857,no"
"44,44,44,admin.,married,university.degree,unknown,yes,may,17,188,1,0,nonexistent,93.994,4.857,no"
"45,45,42,technician,single,professional.course,unknown,no,may,28,22,1,0,nonexistent,93.994,4.857,no"
"46,46,57,admin.,married,university.degree,no,yes,may,15,616,1,0,nonexistent,93.994,4.857,no"
"47,47,40,blue-collar,married,basic.9y,no,no,may,3,178,1,0,nonexistent,93.994,4.857,no"
"48,48,35,admin.,married,university.degree,no,yes,may,26,355,1,0,nonexistent,93.994,4.857,no"
"49,49,45,blue-collar,married,basic.9y,no,yes,may,26,225,2,0,nonexistent,93.994,4.857,no"
"50,50,54,admin.,married,high.school,no,no,may,3,160,1,0,nonexistent,93.994,4.857,no"
"51,51,39,housemaid,married,basic.4y,no,no,may,9,266,1,0,nonexistent,93.994,4.857,no"
"52,52,60,admin.,married,high.school,no,no,may,11,253,1,0,nonexistent,93.994,4.857,no"
"53,53,53,admin.,single,professional.course,no,no,may,13,179,1,0,nonexistent,93.994,4.857,no"
"54,54,55,blue-collar,married,basic.4y,unknown,no,may,12,269,2,0,nonexistent,93.994,4.857,no"
"55,55,55,technician,married,professional.course,unknown,yes,may,8,135,1,0,nonexistent,93.994,4.857,no"
"56,56,50,management,married,university.degree,unknown,no,may,17,161,1,0,nonexistent,93.994,4.857,no"
"57,57,45,services,married,high.school,unknown,yes,may,8,787,1,0,nonexistent,93.994,4.857,no"
"58,58,55,unemployed,married,professional.course,unknown,yes,may,8,145,1,0,nonexistent,93.994,4.857,no"
"59,59,25,technician,single,university.degree,no,yes,may,18,174,1,0,nonexistent,93.994,4.857,no"
"60,60,47,entrepreneur,married,university.degree,unknown,no,may,3,449,1,0,nonexistent,93.994,4.857,no"
"61,61,51,blue-collar,married,basic.9y,no,yes,may,23,812,1,0,nonexistent,93.994,4.857,no"
"62,62,42,blue-collar,married,basic.6y,unknown,yes,may,27,164,1,0,nonexistent,93.994,4.857,no"
"63,63,42,blue-collar,married,basic.6y,unknown,no,may,29,366,1,0,nonexistent,93.994,4.857,no"
"64,64,48,admin.,married,high.school,no,no,may,19,357,1,0,nonexistent,93.994,4.857,no"
"65,65,37,admin.,married,university.degree,no,no,may,15,232,1,0,nonexistent,93.994,4.857,no"
"66,66,44,blue-collar,single,basic.9y,no,yes,may,16,91,1,0,nonexistent,93.994,4.857,no"
"67,67,33,admin.,married,unknown,no,yes,may,21,273,1,0,nonexistent,93.994,4.857,no"
"68,68,56,admin.,married,basic.9y,no,yes,may,29,158,2,0,nonexistent,93.994,4.857,no"
"69,69,44,blue-collar,single,basic.4y,unknown,yes,may,4,177,1,0,nonexistent,93.994,4.857,no"
"70,70,41,management,married,basic.6y,no,no,may,28,200,1,0,nonexistent,93.994,4.857,no"
"71,71,44,management,divorced,university.degree,no,yes,may,26,172,1,0,nonexistent,93.994,4.857,no"
"72,72,47,admin.,married,university.degree,unknown,yes,may,18,176,1,0,nonexistent,93.994,4.857,no"
"73,73,57,unknown,married,unknown,unknown,no,may,14,211,1,0,nonexistent,93.994,4.857,no"
"74,74,37,admin.,married,university.degree,unknown,yes,may,26,214,1,0,nonexistent,93.994,4.857,no"
"75,75,41,blue-collar,divorced,basic.4y,unknown,yes,may,20,1575,1,0,nonexistent,93.994,4.857,yes"
"76,76,55,technician,married,university.degree,no,no,may,16,349,1,0,nonexistent,93.994,4.857,no"
"77,77,33,services,married,high.school,unknown,yes,may,28,337,2,0,nonexistent,93.994,4.857,no"
"78,78,55,management,married,unknown,unknown,yes,may,30,272,1,0,nonexistent,93.994,4.857,no"
"79,79,42,blue-collar,married,basic.9y,unknown,no,may,21,208,1,0,nonexistent,93.994,4.857,no"
"80,80,50,blue-collar,married,basic.4y,unknown,yes,may,29,193,1,0,nonexistent,93.994,4.857,no"
"81,81,51,blue-collar,married,basic.4y,unknown,unknown,may,29,212,1,0,nonexistent,93.994,4.857,no"
"82,82,38,admin.,married,high.school,unknown,no,may,27,165,2,0,nonexistent,93.994,4.857,no"
"83,83,49,entrepreneur,married,university.degree,unknown,yes,may,6,1042,1,0,nonexistent,93.994,4.857,yes"
"84,84,38,technician,single,university.degree,no,no,may,23,20,1,0,nonexistent,93.994,4.857,no"
"85,85,31,admin.,divorced,high.school,no,no,may,12,246,1,0,nonexistent,93.994,4.857,no"
"86,86,41,management,married,basic.6y,no,no,may,23,529,2,0,nonexistent,93.994,4.857,no"
"87,87,39,admin.,married,university.degree,no,yes,may,21,192,1,0,nonexistent,93.994,4.857,no"
"88,88,49,technician,married,basic.9y,no,no,may,19,1467,1,0,nonexistent,93.994,4.857,yes"
"89,89,34,admin.,married,high.school,no,yes,may,17,188,2,0,nonexistent,93.994,4.857,no"
"90,90,35,admin.,married,university.degree,no,yes,may,29,180,2,0,nonexistent,93.994,4.857,no"
"91,91,57,unknown,married,unknown,unknown,yes,may,5,48,1,0,nonexistent,93.994,4.857,no"
"92,92,60,admin.,married,unknown,unknown,no,may,2,213,2,0,nonexistent,93.994,4.857,no"
"93,93,33,unemployed,married,basic.9y,no,no,may,27,545,1,0,nonexistent,93.994,4.857,no"
"94,94,42,blue-collar,married,basic.6y,no,no,may,28,583,1,0,nonexistent,93.994,4.857,no"
"95,95,45,services,married,professional.course,no,yes,may,25,221,1,0,nonexistent,93.994,4.857,no"
"96,96,42,management,married,university.degree,no,no,may,17,426,1,0,nonexistent,93.994,4.857,no"
"97,97,53,admin.,divorced,university.degree,unknown,no,may,27,287,1,0,nonexistent,93.994,4.857,no"
"98,98,37,technician,single,professional.course,no,no,may,30,197,1,0,nonexistent,93.994,4.857,no"
"99,99,44,blue-collar,married,basic.6y,no,no,may,3,257,1,0,nonexistent,93.994,4.857,no"
"100,100,54,services,married,unknown,no,yes,may,25,229,1,0,nonexistent,93.994,4.857,no"
"101,101,49,blue-collar,married,basic.4y,no,no,may,30,55,3,0,nonexistent,93.994,4.857,no"
"102,102,54,services,married,unknown,no,no,may,27,400,1,0,nonexistent,93.994,4.857,no"
"103,103,52,admin.,divorced,university.degree,no,no,may,19,197,1,0,nonexistent,93.994,4.857,no"
"104,104,52,admin.,divorced,university.degree,no,no,may,24,190,1,0,nonexistent,93.994,4.857,no"
"105,105,43,services,single,high.school,unknown,no,may,8,21,1,0,nonexistent,93.994,4.857,no"
"106,106,34,housemaid,married,basic.6y,no,yes,may,22,300,2,0,nonexistent,93.994,4.857,no"
"107,107,35,admin.,married,high.school,no,yes,may,9,123,2,0,nonexistent,93.994,4.857,no"
"108,108,42,entrepreneur,married,unknown,unknown,yes,may,15,293,1,0,nonexistent,93.994,4.857,no"
"109,109,43,technician,married,unknown,unknown,yes,may,9,325,1,0,nonexistent,93.994,4.857,no"
"110,110,60,retired,divorced,university.degree,unknown,no,may,4,514,1,0,nonexistent,93.994,4.857,no"
"111,111,58,unemployed,married,basic.4y,unknown,no,may,1,849,2,0,nonexistent,93.994,4.857,no"
"112,112,35,services,divorced,high.school,no,yes,may,25,194,1,0,nonexistent,93.994,4.857,no"
"113,113,55,blue-collar,married,basic.9y,unknown,yes,may,4,212,2,0,nonexistent,93.994,4.857,no"
"114,114,37,management,married,university.degree,no,no,may,6,337,2,0,nonexistent,93.994,4.857,no"
"115,115,36,blue-collar,married,high.school,no,no,may,20,286,1,0,nonexistent,93.994,4.857,no"
"116,116,52,admin.,divorced,university.degree,no,no,may,31,247,2,0,nonexistent,93.994,4.857,no"
"117,117,57,blue-collar,divorced,unknown,unknown,yes,may,24,518,1,0,nonexistent,93.994,4.857,no"
"118,118,56,admin.,married,unknown,no,yes,may,6,364,1,0,nonexistent,93.994,4.857,no"
"119,119,48,blue-collar,divorced,basic.4y,unknown,yes,may,26,178,1,0,nonexistent,93.994,4.857,no"
"120,120,40,blue-collar,married,high.school,unknown,yes,may,21,98,1,0,nonexistent,93.994,4.857,no"
"121,121,49,blue-collar,divorced,high.school,no,no,may,1,439,1,0,nonexistent,93.994,4.857,no"
"122,122,41,services,married,high.school,no,no,may,18,139,1,0,nonexistent,93.994,4.857,no"
"123,123,45,technician,married,high.school,no,yes,may,9,79,1,0,nonexistent,93.994,4.857,no"
"124,124,32,admin.,married,university.degree,no,yes,may,26,175,1,0,nonexistent,93.994,4.857,no"
"125,125,42,admin.,married,university.degree,no,no,may,21,262,2,0,nonexistent,93.994,4.857,no"
"126,126,50,admin.,married,basic.6y,no,no,may,31,61,1,0,nonexistent,93.994,4.857,no"
"127,127,31,technician,divorced,professional.course,no,yes,may,24,78,1,0,nonexistent,93.994,4.857,no"
"128,128,56,retired,married,basic.4y,no,yes,may,23,102,2,0,nonexistent,93.994,4.857,no"
"129,129,41,technician,married,professional.course,unknown,yes,may,12,579,1,0,nonexistent,93.994,4.857,yes"
"130,130,37,blue-collar,married,basic.6y,no,yes,may,29,143,1,0,nonexistent,93.994,4.857,no"
"131,131,41,technician,married,professional.course,unknown,no,may,20,677,1,0,nonexistent,93.994,4.857,no"
"132,132,35,blue-collar,married,unknown,no,yes,may,22,267,1,0,nonexistent,93.994,4.857,no"
"133,133,37,blue-collar,married,basic.6y,no,yes,may,12,345,1,0,nonexistent,93.994,4.857,no"
"134,134,52,management,married,university.degree,no,no,may,19,185,1,0,nonexistent,93.994,4.857,no"
"135,135,39,management,divorced,university.degree,no,no,may,5,207,1,0,nonexistent,93.994,4.857,no"
"136,136,39,housemaid,married,basic.4y,unknown,no,may,26,69,2,0,nonexistent,93.994,4.857,no"
"137,137,56,blue-collar,married,basic.4y,unknown,no,may,19,100,2,0,nonexistent,93.994,4.857,no"
"138,138,34,services,married,high.school,no,yes,may,28,125,2,0,nonexistent,93.994,4.857,no"
"139,139,45,blue-collar,married,basic.9y,unknown,yes,may,27,461,1,0,nonexistent,93.994,4.857,yes"
"140,140,43,unemployed,single,university.degree,no,yes,may,16,240,1,0,nonexistent,93.994,4.857,no"
"141,141,56,management,married,unknown,no,yes,may,22,70,1,0,nonexistent,93.994,4.857,no"
"142,142,39,management,married,university.degree,no,yes,may,24,193,1,0,nonexistent,93.994,4.857,no"
"143,143,53,blue-collar,married,basic.4y,no,yes,may,17,136,1,0,nonexistent,93.994,4.857,no"
"144,144,38,unknown,divorced,high.school,unknown,yes,may,24,73,1,0,nonexistent,93.994,4.857,no"
"145,145,42,blue-collar,married,basic.4y,unknown,yes,may,6,528,1,0,nonexistent,93.994,4.857,no"
"146,146,42,blue-collar,married,basic.4y,unknown,no,may,11,541,1,0,nonexistent,93.994,4.857,no"
"147,147,35,admin.,single,high.school,no,yes,may,16,338,1,0,nonexistent,93.994,4.857,no"
"148,148,40,admin.,married,university.degree,unknown,yes,may,28,163,1,0,nonexistent,93.994,4.857,no"
"149,149,51,blue-collar,married,basic.4y,no,yes,may,25,87,1,0,nonexistent,93.994,4.857,no"
"150,150,60,blue-collar,married,basic.9y,unknown,no,may,3,301,1,0,nonexistent,93.994,4.857,no"
"151,151,56,entrepreneur,married,unknown,unknown,yes,may,22,46,1,0,nonexistent,93.994,4.857,no"
"152,152,39,services,divorced,high.school,unknown,yes,may,8,52,1,0,nonexistent,93.994,4.857,no"
"153,153,56,entrepreneur,married,unknown,unknown,no,may,3,204,1,0,nonexistent,93.994,4.857,no"
"154,154,40,blue-collar,married,unknown,no,yes,may,12,155,1,0,nonexistent,93.994,4.857,no"
"155,155,36,blue-collar,married,basic.9y,no,yes,may,15,98,1,0,nonexistent,93.994,4.857,no"
"156,156,51,blue-collar,married,unknown,unknown,yes,may,25,71,1,0,nonexistent,93.994,4.857,no"
"157,157,51,blue-collar,married,unknown,unknown,no,may,29,243,1,0,nonexistent,93.994,4.857,no"
"158,158,43,technician,single,professional.course,no,yes,may,7,186,2,0,nonexistent,93.994,4.857,no"
"159,159,59,services,married,high.school,no,no,may,27,579,2,0,nonexistent,93.994,4.857,no"
"160,160,24,management,single,university.degree,no,yes,may,3,165,2,0,nonexistent,93.994,4.857,no"
"161,161,37,blue-collar,single,basic.9y,unknown,yes,may,9,163,2,0,nonexistent,93.994,4.857,no"
"162,162,40,blue-collar,married,basic.9y,unknown,no,may,29,46,1,0,nonexistent,93.994,4.857,no"
"163,163,42,blue-collar,married,basic.9y,unknown,no,may,15,559,3,0,nonexistent,93.994,4.857,no"
"164,164,39,services,divorced,high.school,unknown,no,may,18,2033,1,0,nonexistent,93.994,4.857,no"
"165,165,37,entrepreneur,married,basic.6y,no,no,may,22,85,1,0,nonexistent,93.994,4.857,no"
"166,166,38,services,married,high.school,no,yes,may,4,506,1,0,nonexistent,93.994,4.857,no"
"167,167,56,admin.,divorced,unknown,unknown,no,may,12,114,2,0,nonexistent,93.994,4.857,no"
"168,168,40,blue-collar,married,unknown,no,no,may,19,114,2,0,nonexistent,93.994,4.857,no"
"169,169,54,management,divorced,university.degree,no,yes,may,25,843,2,0,nonexistent,93.994,4.857,no"
"170,170,43,blue-collar,married,high.school,unknown,no,may,12,181,1,0,nonexistent,93.994,4.857,no"
"171,171,36,services,married,high.school,unknown,no,may,5,427,1,0,nonexistent,93.994,4.857,no"
"172,172,45,technician,married,university.degree,no,yes,may,24,292,1,0,nonexistent,93.994,4.857,no"
"173,173,42,admin.,single,university.degree,unknown,no,may,7,192,1,0,nonexistent,93.994,4.857,no"
"174,174,43,services,married,high.school,no,no,may,2,93,3,0,nonexistent,93.994,4.857,no"
"175,175,46,management,married,basic.9y,no,no,may,9,128,2,0,nonexistent,93.994,4.857,no"
"176,176,44,services,married,high.school,no,yes,may,29,107,1,0,nonexistent,93.994,4.857,no"
"177,177,51,admin.,single,basic.6y,no,no,may,13,303,2,0,nonexistent,93.994,4.857,no"
"178,178,28,services,married,high.school,no,yes,may,11,81,1,0,nonexistent,93.994,4.857,no"
"179,179,37,blue-collar,married,basic.9y,no,no,may,30,270,1,0,nonexistent,93.994,4.857,no"
"180,180,34,technician,married,high.school,no,no,may,12,228,1,0,nonexistent,93.994,4.857,no"
"181,181,46,blue-collar,married,basic.6y,unknown,yes,may,31,240,1,0,nonexistent,93.994,4.857,no"
"182,182,42,blue-collar,married,basic.9y,no,yes,may,20,673,2,0,nonexistent,93.994,4.857,yes"
"183,183,36,admin.,married,university.degree,no,yes,may,8,233,3,0,nonexistent,93.994,4.857,no"
"184,184,54,blue-collar,married,basic.4y,unknown,no,may,13,102,1,0,nonexistent,93.994,4.857,no"
"185,185,57,management,married,university.degree,no,no,may,19,461,1,0,nonexistent,93.994,4.857,no"
"186,186,51,technician,married,basic.6y,unknown,no,may,20,250,1,0,nonexistent,93.994,4.857,no"
"187,187,54,retired,married,high.school,unknown,no,may,3,130,1,0,nonexistent,93.994,4.857,no"
"188,188,49,blue-collar,married,basic.4y,unknown,no,may,18,252,1,0,nonexistent,93.994,4.857,no"
"189,189,34,admin.,married,university.degree,no,yes,may,19,138,1,0,nonexistent,93.994,4.857,no"
"190,190,41,technician,married,professional.course,no,no,may,10,412,1,0,nonexistent,93.994,4.857,no"
"191,191,38,blue-collar,single,basic.9y,no,yes,may,19,179,2,0,nonexistent,93.994,4.857,no"
"192,192,45,management,divorced,university.degree,no,no,may,7,19,2,0,nonexistent,93.994,4.857,no"
"193,193,42,technician,married,university.degree,no,no,may,26,228,2,0,nonexistent,93.994,4.857,no"
"194,194,34,blue-collar,single,basic.9y,unknown,yes,may,31,55,1,0,nonexistent,93.994,4.857,no"
"195,195,48,blue-collar,married,basic.4y,no,yes,may,6,717,1,0,nonexistent,93.994,4.857,no"
"196,196,37,admin.,married,high.school,unknown,yes,may,7,313,1,0,nonexistent,93.994,4.857,no"
"197,197,34,blue-collar,single,basic.9y,unknown,no,may,29,289,1,0,nonexistent,93.994,4.857,no"
"198,198,40,admin.,married,basic.9y,unknown,yes,may,25,683,2,0,nonexistent,93.994,4.857,no"
"199,199,43,blue-collar,married,basic.6y,no,yes,may,29,1077,1,0,nonexistent,93.994,4.857,no"
"200,200,33,services,married,high.school,no,no,may,9,146,2,0,nonexistent,93.994,4.857,no"
"201,201,32,services,single,basic.6y,no,no,may,15,167,1,0,nonexistent,93.994,4.857,no"
"202,202,39,blue-collar,married,high.school,no,yes,may,20,356,2,0,nonexistent,93.994,4.857,no"
"203,203,43,admin.,married,unknown,no,no,may,13,277,1,0,nonexistent,93.994,4.857,no"
"204,204,44,blue-collar,married,basic.9y,no,yes,may,9,172,1,0,nonexistent,93.994,4.857,no"
"205,205,35,student,single,university.degree,unknown,no,may,10,218,1,0,nonexistent,93.994,4.857,no"
"206,206,35,student,single,university.degree,unknown,yes,may,4,217,1,0,nonexistent,93.994,4.857,no"
"207,207,35,unemployed,married,professional.course,no,no,may,26,67,1,0,nonexistent,93.994,4.857,no"
"208,208,36,services,single,basic.4y,no,no,may,8,291,1,0,nonexistent,93.994,4.857,no"
"209,209,35,student,single,university.degree,unknown,yes,may,24,248,1,0,nonexistent,93.994,4.857,no"
"210,210,36,student,single,basic.9y,no,yes,may,19,256,1,0,nonexistent,93.994,4.857,no"
"211,211,55,housemaid,divorced,university.degree,no,no,may,25,286,1,0,nonexistent,93.994,4.857,no"
"212,212,59,admin.,married,university.degree,no,no,may,31,477,1,0,nonexistent,93.994,4.857,no"
"213,213,57,retired,married,unknown,unknown,no,may,5,611,2,0,nonexistent,93.994,4.857,no"
"214,214,39,blue-collar,married,professional.course,unknown,yes,may,14,471,1,0,nonexistent,93.994,4.857,no"
"215,215,39,housemaid,married,basic.4y,unknown,yes,may,22,381,2,0,nonexistent,93.994,4.857,no"
"216,216,30,blue-collar,single,unknown,no,yes,may,2,251,1,0,nonexistent,93.994,4.857,no"
"217,217,30,blue-collar,single,unknown,no,yes,may,20,408,1,0,nonexistent,93.994,4.857,no"
"218,218,50,housemaid,married,basic.4y,unknown,no,may,29,287,1,0,nonexistent,93.994,4.857,no"
"219,219,40,services,married,high.school,no,no,may,9,322,3,0,nonexistent,93.994,4.857,no"
"220,220,35,admin.,married,high.school,no,yes,may,20,216,2,0,nonexistent,93.994,4.857,no"
"221,221,43,technician,married,unknown,unknown,no,may,26,366,2,0,nonexistent,93.994,4.857,no"
"222,222,36,services,single,basic.6y,unknown,yes,may,26,210,1,0,nonexistent,93.994,4.857,no"
"223,223,46,technician,married,basic.4y,unknown,yes,may,19,288,1,0,nonexistent,93.994,4.857,no"
"224,224,40,technician,married,basic.9y,no,no,may,15,168,1,0,nonexistent,93.994,4.857,no"
"225,225,58,retired,married,university.degree,no,no,may,17,132,1,0,nonexistent,93.994,4.857,no"
"226,226,42,technician,married,university.degree,no,no,may,26,64,2,0,nonexistent,93.994,4.857,no"
"227,227,35,admin.,single,university.degree,no,no,may,8,209,2,0,nonexistent,93.994,4.857,no"
"228,228,43,retired,married,basic.4y,unknown,no,may,9,410,3,0,nonexistent,93.994,4.857,no"
"229,229,45,blue-collar,married,basic.4y,no,yes,may,19,177,1,0,nonexistent,93.994,4.857,no"
"230,230,39,admin.,married,professional.course,no,yes,may,6,580,2,0,nonexistent,93.994,4.857,no"
"231,231,50,services,divorced,professional.course,no,yes,may,23,165,1,0,nonexistent,93.994,4.857,no"
"232,232,32,management,divorced,basic.4y,unknown,yes,may,27,127,2,0,nonexistent,93.994,4.857,no"
"233,233,39,admin.,married,high.school,unknown,no,may,17,357,1,0,nonexistent,93.994,4.857,no"
"234,234,52,self-employed,married,university.degree,unknown,no,may,10,175,1,0,nonexistent,93.994,4.857,no"
"235,235,44,admin.,married,professional.course,no,yes,may,6,300,1,0,nonexistent,93.994,4.857,no"
"236,236,56,blue-collar,married,basic.4y,no,no,may,19,136,1,0,nonexistent,93.994,4.857,no"
"237,237,48,admin.,married,high.school,no,no,may,24,125,2,0,nonexistent,93.994,4.857,no"
"238,238,33,services,married,high.school,unknown,no,may,4,189,2,0,nonexistent,93.994,4.857,no"
"239,239,43,management,married,university.degree,unknown,no,may,2,213,3,0,nonexistent,93.994,4.857,no"
"240,240,57,retired,married,high.school,no,no,may,10,238,2,0,nonexistent,93.994,4.857,no"
"241,241,36,technician,single,professional.course,no,no,may,4,124,1,0,nonexistent,93.994,4.857,no"
"242,242,34,management,married,university.degree,no,yes,may,2,18,1,0,nonexistent,93.994,4.857,no"
"243,243,34,services,single,basic.9y,no,no,may,17,730,2,0,nonexistent,93.994,4.857,no"
"244,244,30,technician,married,university.degree,unknown,no,may,11,40,1,0,nonexistent,93.994,4.857,no"
"245,245,33,services,divorced,unknown,no,no,may,16,181,2,0,nonexistent,93.994,4.857,no"
"246,246,32,technician,single,professional.course,no,no,may,20,79,1,0,nonexistent,93.994,4.857,no"
"247,247,36,technician,single,high.school,no,yes,may,6,142,2,0,nonexistent,93.994,4.857,no"
"248,248,36,blue-collar,single,high.school,no,no,may,10,389,1,0,nonexistent,93.994,4.857,no"
"249,249,33,services,single,high.school,no,no,may,24,702,1,0,nonexistent,93.994,4.857,no"
"250,250,40,technician,divorced,professional.course,no,no,may,23,151,1,0,nonexistent,93.994,4.857,no"
"251,251,41,blue-collar,married,basic.4y,no,yes,may,7,211,1,0,nonexistent,93.994,4.857,no"
"252,252,51,services,married,basic.6y,no,yes,may,26,117,1,0,nonexistent,93.994,4.857,no"
"253,253,36,technician,married,professional.course,no,yes,may,24,232,3,0,nonexistent,93.994,4.857,no"
"254,254,28,services,married,unknown,no,no,may,8,408,2,0,nonexistent,93.994,4.857,no"
"255,255,53,services,married,high.school,no,yes,may,15,370,3,0,nonexistent,93.994,4.857,no"
"256,256,58,blue-collar,married,basic.9y,unknown,yes,may,6,179,2,0,nonexistent,93.994,4.857,no"
"257,257,45,management,married,basic.9y,no,no,may,1,46,1,0,nonexistent,93.994,4.857,no"
"258,258,43,technician,married,unknown,no,yes,may,22,200,1,0,nonexistent,93.994,4.857,no"
"259,259,33,admin.,married,high.school,no,no,may,4,50,1,0,nonexistent,93.994,4.857,no"
"260,260,33,admin.,married,high.school,no,no,may,7,181,1,0,nonexistent,93.994,4.857,no"
"261,261,27,blue-collar,single,basic.6y,no,unknown,may,26,119,1,0,nonexistent,93.994,4.857,no"
"262,262,42,technician,married,high.school,no,no,may,17,361,1,0,nonexistent,93.994,4.857,no"
"263,263,43,admin.,divorced,basic.9y,no,no,may,16,73,3,0,nonexistent,93.994,4.857,no"
"264,264,42,admin.,married,university.degree,no,no,may,24,67,2,0,nonexistent,93.994,4.857,no"
"265,265,27,blue-collar,single,basic.6y,no,no,may,10,350,1,0,nonexistent,93.994,4.857,no"
"266,266,34,self-employed,single,university.degree,no,yes,may,18,150,2,0,nonexistent,93.994,4.857,no"
"267,267,31,student,single,university.degree,unknown,no,may,9,332,2,0,nonexistent,93.994,4.857,no"
"268,268,54,management,divorced,university.degree,no,no,may,13,611,2,0,nonexistent,93.994,4.857,no"
"269,269,40,self-employed,married,basic.4y,unknown,no,may,25,58,3,0,nonexistent,93.994,4.857,no"
"270,270,52,unemployed,married,high.school,unknown,yes,may,26,151,1,0,nonexistent,93.994,4.857,no"
"271,271,47,management,divorced,university.degree,no,no,may,10,89,2,0,nonexistent,93.994,4.857,no"
"272,272,49,housemaid,married,basic.9y,unknown,no,may,5,152,1,0,nonexistent,93.994,4.857,no"
